playerName,team,eligiblePositions
Connor McDavid,EDM,C
Nikita Kucherov,T.B,RW
Nathan MacKinnon,COL,C
Leon Draisaitl,EDM,"C,LW"
Macklin Celebrini,S.J,C
David Pastrnak,BOS,RW
Jack Hughes,N.J,"C,LW"
Jack Eichel,VGK,C
Kirill Kaprizov,MIN,LW
Martin Necas,COL,RW
William Nylander,TOR,"C,RW"
Jason Robertson,DAL,"LW,RW"
Artemi Panarin,L.A,LW
Mikko Rantanen,DAL,"LW,RW"
Quinn Hughes,MIN,D
Nick Suzuki,MTL,C
Mark Scheifele,WPG,C
Kyle Connor,WPG,LW
Auston Matthews,TOR,C
Mitch Marner,VGK,"C,LW,RW"
Matthew Tkachuk,FLA,"LW,RW"
Matt Boldy,MIN,"LW,RW"
Wyatt Johnston,DAL,"C,RW"
Connor Bedard,CHI,"C,RW"
Cale Makar,COL,D
Sidney Crosby,PIT,C
Mark Stone,VGK,RW
Clayton Keller,UTA,"LW,RW"
Aleksander Barkov,FLA,C
Zach Werenski,CBJ,D
Robert Thomas,STL,C
Evan Bouchard,EDM,D
Leo Carlsson,ANA,C
Brandon Hagel,T.B,"LW,RW"
Jake Guentzel,T.B,"LW,RW"
Sebastian Aho,CAR,C
Lucas Raymond,DET,RW
Tage Thompson,BUF,"C,RW"
Sam Reinhart,FLA,RW
Jesper Bratt,N.J,"LW,RW"
Cole Caufield,MTL,"LW,RW"
Tim Stützle,OTT,"C,LW"
Cutter Gauthier,ANA,"C,LW,RW"
Lane Hutson,MTL,D
Dylan Holloway,STL,"C,LW"
Adam Fox,NYR,D
Seth Jarvis,CAR,"LW,RW"
Alex DeBrincat,DET,"LW,RW"
Dylan Guenther,UTA,"LW,RW"
Logan Cooley,UTA,C
Filip Forsberg,NSH,LW
Kirill Marchenko,CBJ,RW
Roope Hintz,DAL,C
Adrian Kempe,L.A,RW
Nico Hischier,N.J,C
Nikolaj Ehlers,CAR,LW
Mathew Barzal,NYI,"C,RW"
Mika Zibanejad,NYR,"C,RW"
Dylan Larkin,DET,C
Brayden Point,T.B,C
Will Smith,S.J,"LW,RW"
Rasmus Dahlin,BUF,D
J.T. Miller,NYR,"C,LW,RW"
Porter Martone,PHI,RW
Bryan Rust,PIT,RW
Gabriel Vilardi,WPG,"C,RW"
Ivan Demidov,MTL,RW
Anton Frondell,CHI,C
Andrei Svechnikov,CAR,"LW,RW"
Evgeni Malkin,PIT,"C,LW,RW"
Travis Konecny,PHI,"LW,RW"
Matthew Knies,TOR,"LW,RW"
Juraj Slafkovsky,MTL,"LW,RW"
Adam Fantilli,CBJ,C
Bo Horvat,NYI,C
Elias Pettersson,VAN,C
Beckett Sennecke,ANA,RW
Dylan Strome,WSH,C
Matthew Schaefer,NYI,D
Jimmy Snuggerud,STL,RW
Brady Tkachuk,FLA,"C,LW"
Troy Terry,ANA,RW
Morgan Geekie,BOS,"C,LW,RW"
Pavel Dorofeyev,NYR,"LW,RW"
Shea Theodore,VGK,D
Zach Hyman,EDM,"LW,RW"
Drake Batherson,OTT,"LW,RW"
John Tavares,TOR,C
Ryan O'Reilly,NSH,C
Marco Rossi,VAN,C
Trevor Zegras,PHI,"C,LW,RW"
Alexis Lafrenière,NYR,"LW,RW"
Rickard Rakell,PIT,"C,LW,RW"
Nick Schmaltz,UTA,"C,RW"
Quinton Byfield,L.A,C
Tomas Hertl,VGK,"C,LW"
Jonah Gadjovich,FLA,LW
Michael Misa,S.J,C
Steven Stamkos,NSH,"C,RW"
Jared McCann,SEA,"C,LW"
Tom Wilson,WSH,RW
Darren Raddysh,TOR,D
Alex Tuch,WSH,"LW,RW"
Joel Eriksson Ek,MIN,C
JJ Peterka,BOS,"LW,RW"
Brad Marchand,FLA,"LW,RW"
Valeri Nichushkin,CBJ,"LW,RW"
Roman Josi,NSH,D
Josh Morrissey,WPG,D
William Eklund,OTT,"LW,RW"
Matvei Gridin,CGY,"LW,RW"
Jake Sanderson,OTT,D
Pavel Zacha,BOS,"C,LW"
Matvei Michkov,PHI,"LW,RW"
Moritz Seider,DET,D
Luke Evangelista,NSH,"LW,RW"
Charlie McAvoy,BOS,D
Brock Boeser,VAN,"LW,RW"
Ryan Nugent-Hopkins,EDM,"C,LW"
Zach Benson,BUF,LW
Miro Heiskanen,DAL,D
Mikael Granlund,ANA,"C,LW"
Jordan Kyrou,WSH,RW
Mason McTavish,STL,C
Brock Nelson,COL,C
Kevin Fiala,L.A,LW
Dylan Cozens,OTT,C
Mikhail Sergachev,UTA,D
Jackson LaCombe,ANA,D
Pierre-Luc Dubois,WSH,"C,LW"
Viktor Arvidsson,DET,"LW,RW"
Nazem Kadri,COL,"C,LW"
Jakob Chychrun,WSH,D
Aliaksei Protas,WSH,"LW,RW"
Matt Duchene,DAL,"C,RW"
Teddy Blueger,TOR,C
Tyler Bertuzzi,CHI,"LW,RW"
Josh Doan,BUF,RW
Matty Beniers,SEA,C
Mats Zuccarello,L.A,RW
Alex Ovechkin,WSH,"LW,RW"
Timo Meier,N.J,"LW,RW"
Erik Karlsson,PIT,D
Anthony Cirelli,T.B,C
Cole Hutson,WSH,D
Mason Marchment,S.J,LW
Shayne Gostisbehere,CAR,D
Ivan Barbashev,VGK,LW
Matt Coronato,CGY,RW
Sam Bennett,FLA,C
Frank Nazar,CHI,C
Cole Perfetti,WPG,"LW,RW"
Ryan Leonard,WSH,RW
John Carlson,T.B,D
Shane Pinto,OTT,C
Jackson Blake,CAR,RW
Tyler Seguin,DAL,"C,RW"
Anton Lundell,FLA,C
Jack Quinn,BUF,RW
Ryan Hartman,MIN,"C,RW"
Jordan Eberle,SEA,RW
Ryan McLeod,BUF,C
Carter Verhaeghe,FLA,LW
Logan Stankoven,CAR,"C,RW"
Bowen Byram,CHI,D
Vincent Trocheck,UTA,C
Artturi Lehkonen,COL,"LW,RW"
Chandler Stephenson,SEA,C
Pavel Buchnevich,STL,"C,LW,RW"
Calum Ritchie,NYI,"C,RW"
Igor Chernyshov,S.J,"LW,RW"
Anthony Mantha,N.J,"LW,RW"
Filip Hronek,VAN,D
Kyle Palmieri,NYI,RW
