playerId,playerName,team,positionCode,age,isGoalie,gamesPlayed,pg_goals,pg_assists,pg_points,pg_shots,pg_ppGoals,pg_ppPoints,pg_shGoals,pg_shPoints,pg_blockedShots,pg_hits,pg_plusMinus,pg_penaltyMinutes,pg_totalFaceoffWins,pg_totalFaceoffLosses,pg_wins,pg_losses,pg_otLosses,pg_shutouts,pg_saves,pg_goalsAgainst,savePct
8485406,Porter Martone,PHI,R,19,0,78,0.36,0.51,0.86,2.7,0.13,0.3,0.0,0.0,0.39,1.34,0.01,0.44,0.11,0.22,,,,,,,
8485391,Anton Frondell,CHI,C,19,0,78,0.32,0.52,0.84,2.81,0.07,0.25,0.0,0.0,0.78,0.85,-0.09,0.42,2.79,6.45,,,,,,,
8484860,Matvei Gridin,CGY,L,20,0,74,0.25,0.46,0.71,2.18,0.07,0.27,0.0,0.0,0.71,0.56,-0.12,0.26,0.09,0.42,,,,,,,
8484873,Cole Hutson,WSH,D,20,0,74,0.15,0.49,0.64,1.53,0.03,0.33,0.0,0.0,1.03,1.21,0.04,0.51,0.0,0.0,,,,,,,
8484994,Igor Chernyshov,S.J,L,20,0,74,0.27,0.33,0.6,1.69,0.07,0.14,0.0,0.0,0.46,0.76,-0.02,0.3,0.0,0.0,,,,,,,
8483468,Jiri Kulich,BUF,C,22,0,67,0.28,0.24,0.52,2.06,0.02,0.04,0.0,0.0,0.67,0.79,0.01,0.36,5.13,6.44,,,,,,,
8483482,Tristan Luneau,ANA,D,20,0,68,0.09,0.2,0.29,1.25,0.0,0.01,0.0,0.0,1.2,0.87,-0.04,0.37,0.0,0.0,,,,,,,
8484797,Konsta Helenius,BUF,C,20,0,76,0.17,0.27,0.44,1.52,0.0,0.0,0.0,0.0,0.42,1.11,0.02,0.27,1.2,1.69,,,,,,,
8483731,Alex Bump,PHI,L,22,0,67,0.2,0.21,0.42,1.26,0.01,0.01,0.0,0.0,0.41,0.96,0.01,0.25,0.0,0.11,,,,,,,
8483471,Brad Lambert,WPG,C,22,0,55,0.17,0.23,0.4,1.42,0.02,0.07,0.0,0.0,0.4,1.1,0.0,0.33,0.27,0.63,,,,,,,
8484160,Nate Danielson,DET,C,21,0,68,0.14,0.24,0.38,1.43,0.02,0.11,0.0,0.0,0.41,0.66,-0.02,0.28,2.42,4.01,,,,,,,
8483476,Jonathan Lekkerimaki,VAN,R,22,0,59,0.16,0.17,0.33,1.18,0.03,0.09,0.0,0.0,0.4,1.19,-0.12,0.23,0.0,0.01,,,,,,,
8484938,Arttu Hyry,DAL,C,25,0,67,0.15,0.17,0.32,1.38,0.0,0.0,0.03,0.03,0.43,1.37,0.05,0.26,6.89,4.71,,,,,,,
8480842,Filip Hallander,PIT,L,26,0,55,0.12,0.19,0.31,1.38,0.0,0.01,0.03,0.04,0.47,1.09,0.0,0.28,0.0,0.15,,,,,,,
8484230,Otto Stenberg,STL,C,21,0,63,0.11,0.19,0.3,0.96,0.0,0.01,0.0,0.02,0.44,1.44,-0.03,0.23,0.11,0.27,,,,,,,
8484768,Zayne Parekh,CGY,D,20,0,74,0.1,0.2,0.3,1.29,0.05,0.13,0.0,0.0,1.02,0.78,-0.1,0.34,0.0,0.0,,,,,,,
8484188,Theo Lindstein,STL,D,21,0,70,0.1,0.2,0.29,1.18,0.0,0.0,0.0,0.0,1.14,0.97,-0.01,0.39,0.0,0.0,,,,,,,
8484509,Josh Samanski,EDM,C,24,0,60,0.13,0.16,0.28,0.82,0.0,0.0,0.0,0.0,0.58,1.18,0.07,0.31,2.66,2.86,,,,,,,
8484177,Lenni Hameenaho,N.J,R,21,0,64,0.1,0.18,0.28,1.28,0.0,0.0,0.0,0.0,0.46,0.95,0.0,0.31,0.0,0.14,,,,,,,
8484388,Daniil But,UTA,L,21,0,62,0.13,0.15,0.28,1.38,0.02,0.06,0.0,0.01,0.58,1.0,0.03,0.3,0.24,0.49,,,,,,,
8483455,Isaac Howard,EDM,L,22,0,62,0.11,0.16,0.27,1.36,0.01,0.02,0.0,0.0,0.31,0.88,0.05,0.34,0.0,0.0,,,,,,,
8484150,Hunter Brzustewicz,CGY,D,21,0,64,0.06,0.19,0.25,1.04,0.01,0.05,0.0,0.0,0.96,0.92,-0.09,0.31,0.0,0.0,,,,,,,
8483472,Maveric Lamoureux,UTA,D,22,0,72,0.06,0.18,0.24,1.02,0.0,0.0,0.0,0.0,1.17,1.23,0.02,0.69,0.0,0.0,,,,,,,
-1,Jonathan Aspirot,BOS,D,27,0,75,0.05,0.16,0.21,0.78,0.0,0.0,0.0,0.0,1.32,1.31,0.0,0.58,0.0,0.0,,,,,,,
